ID	tweet	labels		
1352820716253679616t	@JessicaASmith8 @RepSteveStivers Better yet let's just open the country and get back to work. Those that want the vaccine by all means get it. If you don't want it, don't get it. This is what being free is all about! @Jamesday427	mandatory		
1414568071285641219t	@PaulPaul49 Pfizer is a massive Pharmaceutical company which makes huge profits from its *very expensive* #CoVID_19 vaccine. - It isn't likely to put that position at risk by publishing critical data - It pushes a lot of data that discredit rivals - Trial	pharma		
1290922720188866561t	@MattHancock if my time is up its up dont give a fk had a great life no regrets so Hancock keep your vaccine and your Corona Virus which you brought into this country and still bringing it in in plane loads as we speak ? and your not testing at airports ?	none		
1338501523492524038t	"@CNN If 1.3 billion take the Pfizer vaccine, ~355000 will be dead as a direct ""serious side effect"" of it.....statistically speaking."	side-effect		
1322593301531414528t	There are over 30 different strains of coronavirus, it is a mutating virus, uncontrollable, a vaccine for it will never be realistically found, its fantasy stuff, lockdowns aren’t the answer, just living with the virus is #Lockdown2 #lockdownUK	ineffective		
1334071866026323968t	@ProfBrianCox @louiemartin12 Oh, yes we can trust Pfizer's ( https://t.co/sQEAqc0ceD) rushed jab. It's so safe that, for the first time in British history, those who do not get it will have their civil liberties reduced. Nothing to see here! 😏	rushed		
1284884329978527744t	@zerohedge @o_rips It seems to go together with the transgenic agenda, use DNA human cell ( Innovio ) or reprogrammes RNAm ( moderna ) both this new generation of vaccin aimes ar genetically create irreversible change in the han body under the excuse to s	side-effect conspiracy		
1353480196268060673t	@haleewalsh86 @SoliloquySteve @nationalpost Or how how about vaccine enhanced disease Pfizer is a wee bit worried about. Page 49 of their FDA briefing document. https://t.co/mSw4NMbAAA and more here on this serious issue that may take 2 years to show up. 	side-effect		
1443916672310648863t	@GodwinAdamsonJ1 @nevervotedtory1 Aren't you starting from scratch as Israel discovered that 57 days after being doubly vaccinated there were NO antibodies for Covid in the blood tests they took from patients. Pfizer/AZ stated shortly after that their vac	ineffective		
1338887338534051842t	@policescotland @scotgov FDA recommends watching for Bell's palsy after taking the Pfizer vaccine, cnbc report. Folks this is no joke and you never know what detrimental side effects you may have on the long run. It's better to endure the hoax virus than 	side-effect		
1327178138623889408t	@DrWaqarRashid1 1) Why the need to dilute the Human Medicines Regulations? 2) Pfizer vaccine study due to wrap up - 11 Dec 2022. Why talk of 'rolling it out' in 'Dec 2020'!? 3) Given the novelty of mRNA vaccines, what studies can you highlight that show t	rushed side-effect		
1318994189305131008t	Brazil health authority: COVID vaccine trial volunteer has died https://t.co/8QfEsWeKJS DIED FROM the vaccine developed by AstraZeneca and Oxford U. but testing to continue. @DrOz @va_shiva @drdavidsamadi @MSF_USA @picphysicians @HHSRegion2 #firefauci	side-effect		
1329421230236168197t	@Ben_Jammin_John @AlexWhitcomb They’re not that different.  500,000 around the world die from it and that’s with a vaccine.  No one wears a mask for it.   Most years the flu vaccination is around 45% but it’s sometimes above 50%.   I would agree tha	none		
1347285389627817984t	@HammerMancunian I wouldn't take an mRNA vaccine but the Oxford one is based on more traditional methods. In any case, I had the virus and recovered so I don't require a vaccine in any case	unnecessary ingredients		
1219318894919397377t	@profamirattaran So what about the list of possible side effects in the vaccine inserts? Parents should just ignore those? Have they not been found through scientific study by the manufacturers of the vaccine?	side-effect		
1336636645072842752t	It's safe they said. COVID-19 vaccine: UK regulators warn people with history of 'significant' allergic reactions not to have Pfizer/BioNTech jab. https://t.co/eewX7OVhVO via @GoogleNews	side-effect		
1355556844597628930t	@BorisJohnson medical killer https://t.co/Q5h9DisypF The most significant, totally predictable and a void full medical killer is a Covid vaccination. https://t.co/jCe4JtBHCk	side-effect		
1330170065795342341t	@MKBHD Psst. Scientists have had decades to find a cure for RNA viruses such as the flu and Covid19. Psst. A vaccine is not a cure. Pass it on. COVID-19 will mutate like any other flu. Pass it on. Think critically. Pass it on.	ineffective		
1223275144832933888t	@TheodoreValley Smallpox dissipated on it's own. Only 10-15% were ever vaccinated with that coxpox sludge or the more refined products that came after. That is how human populations win --by adaptation. Yes, nature and time are the vehicles for real prote	rushed		
1336064562685153280t	@yashar Okay, but the Pfizer one can make women infertile... so why would we want MORE of it? Hell, why would we want any of it?	side-effect		
1330276155472179200t	MRC-5 is used in making the hepatitis A, polio, and varicella (chicken pox) vaccines.   MRC-5 is found in the lung tissue of 14 week old aborted males.   It’s said to be used in the new Covid vaccine.   Don’t believe me? Look it up.	ingredients		
1253224925600649216t	Henry Kissinger and Bill Gates want the same thing. One government for the entire world (the New World Order). And for everyone of us slaves of this neo Colonial empire to be tagged with a digital ID which will be injected into us with Gates Covid vaccine https://t.co/8XYKAvnylE	ingredients conspiracy		
1376671037287370753t	Creepy Joe’s Fascist State says. Put your masks back on. Phuck off Joe. Dr Fugazi claims He brought us the Covid vaccine. Bull shit you liar. President Trump did. 100%.	mandatory		
1332696106883485696t	Some vaccines are using fetal tissue especially the one from oxford to treat covid. Are they taking human life for a vaccine. Not good if your pro life.	ineffective		
1291005931371687936t	"@GOP @realDonaldTrump ""The cure can't be worse then the cause"" Pfizer? Good luck."	side-effect		
1398069319184097282t	Lisa Shaw: Radio presenter died ‘after suffering blood clots following Oxford/AstraZeneca COVID vaccine’ – family says | UK News https://t.co/WnePbefHCU	side-effect		
1334919111449710594t	Anyone out there still believing shit will go back to normal after a vaccine? Get your head checked. #Pfizer #scandemic #WhyAreTheyDoingThis #fuckoffboris #fuckboris	ineffective		
1333433303949578243t	@NeilClark66 Mad fascist dictator Johnson now wants to force you to take an experimental vaccine with no long-term safety profile. All this for a virus with 0.3% IFR. Still think this is about a virus? 1922 committee must step in NOW and REMOVE this commu	mandatory rushed unnecessary		
1366800257166761986t	@Angelsfeartogo @DrTeckKhong If you have the vaccine within about 3 weeks of actually having had Covid. You will definitely get something of a reaction! Like having flu!	side-effect		
1355717483080998914t	@DrEricDing @Dr2NisreenAlwan @VickiGSP @IndependentSage Please explain to me why the NEW STRAINS seem to have broken out in countries that large vaccine testing programs: Britain, South Africa and Brazil??? And what are we to expect here now we’re mass 	side-effect		
1368939262406713355t	My take on the vaccine. Some are dying, some are hospitalized, some have reactions but not deadly. Next flu season, people who took the vaccine will get a big surprise. This vaccine will kill more than Covid-19 and at a much faster rate. Depopulation achieved.	side-effect		
1307066319804805126t	@LATiffani1 Covid has a higher survival rate without a vaccine than the Flu does with. Vaccine yet they locked our society down! All of this because the Dems want their power back which kinda makes you wonder what are the Dems afraid of! I think some powe	political		
1403765009600090121t	sorry is that the same vaccine that made my mum very ill and has given people deadly blood clots no one should be given an award until @AstraZeneca address the issue with it https://t.co/SwOn0McOD2	side-effect		
1308398623718170625t	@PatKennyNT We're not even allowed to question Government and Media without being called Far Right. Prof Dolores Cahill has the data to back up her claim that Hydroxy works.  There's also evidence that a flu vaccine can make Covid worse if you get it Will	political		
1433830554349318154t	Exclusive Interview: Mom Whose 14-Year-Old Son Developed Myocarditis After Pfizer Vaccine No Longer Trusts CDC, Public Health Officials • Children's Health Defense https://t.co/AhsHhZTyvG	side-effect		
1300193218273968130t	@Claudius1810BC Makes me chuckle as they actually think there will be a coronavirus vaccine. There has never been any for the other six so he is basically saying that this is it. this is our life. fucking idiot	ineffective		
1335975790501097474t	@10DowningStreet @Pfizer_UK @BioNTech_Group @MHRAgovuk Ex-head of pfizer's research (see: M Yeadon & W Wodarg), say this vaccine must stop, -that it has massive problems in initial testing, is showing effects of STERILIZATION of those who take it. Recall 	rushed side-effect		
1374678546799599617t	@DailyMailUK Oh ffs 🤦 I think when kids are vaccinated they will come after pets. Big Pharma need to keep pumping the numbers of sold vaccines 🤑🤡😂😂😂 https://t.co/1x5Kpas9cV	pharma		
1306978174815756290t	@lovereignssupr1 I think alot is coming to light with vaccines even them stating that the covid vaccine was on pause for paralyzing someone makes people question more. When previously its been happening all along with no exposure. Everything is under the 	side-effect		
1437309456472162306t	Anyone that thinks @US_FDA gonna slamdunk the RNA Corona Virus Vaccines for under 12 is Nuts no matter what the @pfizer data says because FDA gonna consider danger of Virus vs Vaccine and you look closely...Vaccine may be more dangerous for kids. Be ready for that outcome! https://t.co/Q138swLRJm https://t.co/3f532T1mD9	side-effect		
1377864398027419650t	"Blood clots after receiving AstraZeneca vaccine ""Central venous sinus thrombosis is a very rare disorder that is previously not been known to be associated with vaccination,however it has been noted as a complication of people who have contracted COVID-19"" https://t.co/G0DUkfSu97"	side-effect		
1222615996856438785t	@GeorgeTakei I actually GOT my flu shot this past Fall-and have been in bed with the Flu for the past week! Apparently, this years vaccine didn’t work! 😷	ineffective		
1326882248608636928t	@whatsinitforme @EndUKLockdown1 Yup and those that have the vaccine must sign that they forego any treatment for anything arising from it...not like Pfizer have a history of it or anything https://t.co/W51E7CaMxn	mandatory		
1335382797628870658t	How tf they have a Covid-19 vaccine already 🤔 don’t it take years to develop a vaccine and not 8 months	rushed		
1409874378494464005t	Ready for the Nursing Home or Real World ‘Neo’ on the ‘Red Pill? Or Time to Retire for a Re-Read of Michel Montaigne? https://t.co/GPzyOO2la3 #COVID-19 #Michael #Yeadon #mRNA #Pfizer #Totalitarianism https://t.co/QEYDhl1mJm	none		
1291623414537621504t	@zev_dr And the vaccines are likely to be very profitable too. In fact if #hydroxychloriquineworks then licences to rush out vaccines are likely to be reviewed and reversed see @drsimonegold tweets. Plus #AstraZeneca has sought and been granted immunity f	pharma rushed side-effect		
1328341377755836417t	@simonjamesjupp @MoggMentum Why are we being told this pfizer vaccine will be ready for next winter when their own study states it will not be ready until dec 2022 https://t.co/s8z1818CjF https://t.co/oi8naovsyz	rushed		
1298188564962975746t	A senior Catholic archbishop has warned he is “deeply troubled” by Australia’s vaccine deal with AstraZeneca, saying the potential vaccine uses a fetal cell line that creates an “ethical quandary” for Christians. https://t.co/wcozpHZodQ	ingredients religious		
1350794625699733504t	@LBC @MaajidNawaz my friend has just had Pfizer vaccine, she is feeling quite ill today, can’t walk properly. She’s over 89 with lung tissue scarring.	side-effect		
1281019439278768128t	I'd rather have Covid than be injected with a Covid vaccine produced under the direction of that lunatic in the White House	side-effect		
1374776642183311362t	@DanScavino I don’t understand! This vaccine is poison! Why is Trump or you pushing it?	ingredients		
1354846767507001351t	After several days of suffering, i have beaten the covid vaccine/mind control shot. I had a sinus infection at the same time as the vaccine and got sick as heck. I regret nothing	side-effect		
1343560733229891585t	@ianhughscott If the vaccine doesn't prevent transmission of the virus but prevents death from covid (but not from comorbidities obviously) how will we know if it works based on the way deaths have been reported? People will still die with Covid, right?	ineffective		
1329753885989347332t	THE CULLING OF THE HUMAN RACE BEGINS: See the Horrifying Ingredients in AstraZeneca’s Covid-19 Vaccine – Absolute Truth from the Word of God https://t.co/CkpNW3hXXG	ingredients conspiracy		
1332858597265399808t	@WBrettWilson Pfizer is pretty comfortable too with every one getting a vaccine. This is a business. This is not about health.	pharma		
1374826032713371650t	@iamErica_Mena within the month, we have discovered that Astra Zeneca who was one of the sponsors for the conference, developed a vaccine that causes blood clots.	side-effect		
1353147358301876227t	"The #FauciOuchie....not one damned but cute. Even Bill Gates admitted this ""vaccine"" (which, by FDA's standards, it absolutely is NOT) was going to kill 77,000 people. The same Bill Gates whose Polio vaccine actually murdered tens of thousands. No, thanks...I'm GOOD.😒 https://t.co/pjYjZxVazu"	side-effect pharma		
1434024405064028162t	@dunlopfirestone @liamdann @MeganHands8 That’s why Covid passports are useless, quite apart from philosophically repugnant. Pfizer now saying we’ll all need three boosters a year … (and of course the do.)	mandatory		
1337596971771514885t	@G8x2Keeper @pvtterson @dimplessmiles66 @nytimes Pfizer as a company has a loonnng list of lawsuits reasons not to trust them. Easy search and you’ll find it. But don’t rely on your news source to bring news like this to you. Remember money speaks	pharma		
1344399162431791105t	this means nothing!!! the vaccine isn't 100%!!! and it needs two doses!!! everyone knows this already!!! Vaccinated US nurse contracts COVID-19, expert says Pfizer shot needed more time to work - ABC https://t.co/cYTj5qPRog #SmartNews	ineffective		
1382220078234677250t	CDC investigates death of Virginia woman who died after getting the Johnson & Johnson vaccine | Daily Mail Online https://t.co/HyuQ6Bwu8m	side-effect		
1341319988171448322t	@ledredman @devisridhar @matthaig1 Also Sunak has shares in the Moderna vaccine in which they are looking into vaccinating secondary school aged children. In which there is not enough research on its safety in children. #FollowTheMoney	rushed pharma		
1432580227176091651t	Blood lots from both the AstraZeneca vaccine and from catching COVID can have dire consequences, with the risk being near to 200 times higher for the infection. Blood clot risk much higher from COVID-19 than vaccines https://t.co/WMJJGU5e9M	side-effect		
1400628010043195397t	The vaccine wasn’t created for covid... covid was created for the vaccine....	conspiracy		
1255639272834523136t	Why are you injecting disinfectants into your own body? Don’t believe you are? Ever heard of a vaccine? Two common ingredients in vaccines: Thimerosal = DISINFECTANT Formaldehyde = DISINFECTANT Prove me wrong. #Q #Qanon	ingredients		
1211037384604835840t	@SharylAttkisson It's literally impossible to make a vaccine that will not harm 100% of end users specifically because each and every human reacts differently to different chemicals & biologicals.  Making something that works for 80%+ is the best anyone c	side-effect		
1358573972153987074t	Great ...so the Majority of Australians will be given a COVID-19 Vaccine #AstraZeneca that will not protect us from the Virulent Strains of the Virus ! #LNPfail #auspol	ineffective		
1260586320121995264t	@CeliaFarber My current drumbeat Covid-19 is a SARS variant If over all these decades they haven't been able to develop a vaccine for any SARS variant, why would they suddenly be successful now? I'm skeptical. If they claim they have I suspect they'll be 	rushed		
1328451913826889734t	Exactly Moderna.....in which DADDY HAS A FINANCIAL INTEREST.....EXACTLY WHY NO ONE WILL GET IT....STICKING WITH FAUCI...WER'E NOT 'ALL' IGNORANT!	pharma		
1355230580317827072t	Why would anyone want to have mRNA injected into themselves? Please do your own research before having the vaccine. Actually, it’s isn’t a vaccine. Look it up, please. You can’t remove it from your body once you take it.	ingredients		
1326427895716323328t	@lynzi_lynz They'll also tell you, when it's convenient, that they don't fully understand Covid yet. So how is it possible to manufacture en effective vaccine for something you don't fully understand?	ineffective		
1264558246959824897t	@GovernorGordon Gov Gordon: Another of ur infamous MDs, Gottlieb: On TV admitting Pfizer (he's a Pfizer board member) may have to shelve vaccine trials d/2 lack of virus prevalence. A big “L” for Team Apocalypse Bill Gates&Big Pharma, and those on the	pharma		
1353453121834377219t	@GoodwinMJ For what purpose. Vaccination is not ending our house arrest so seriously what is the point ?	ineffective		
1288429670988316672t	The first Covid vaccine that I definitely will not take 🏆	none		
1374811755927506945t	What’s next? People won’t be allowed to go to the supermarket to buy groceries, to live, without being jabbed or showing proof thereof? Vaccine certificates are the armbands of this day and age. #ukpol #rona #covid19 #coronavirus	mandatory		
1343972434261774336t	Anyone up to volunteer for the latest car-crash of the #Pfizer #Vaccine? Didn't think so. Best skip this one. #Covid 4 German care workers rushed to hospital after Pfizer coronavirus vaccination, claims that 8 received 'accidental overdose' https://t.co/c7z3m2c2yR	side-effect		
1370555102503825409t	@whiterabbit4442 Yep— studies are comprised for sure. Less than 200 got covid in Pfizer’s RCT across over 30K healthy people. It’s impossible to judge anything with that. Worthless RCT. Not to mention no long term research into health outcomes.	ineffective rushed		
1374276951469391872t	They could try that, but I'd recommend they read this first, if they want their Pfizer vaccine to be rolled out. https://t.co/Zi4ucnMxdV	none		
1324840147381325830t	@fallonseven Me too. Friends and allies who were rabidly pro covid rules not too long ago are starting to listen. We just need a critical mass who will refuse the vaccine. That's the battle now. That's what will end all of this.	none		
1318940139566075905t	@AC10RRA @Pfizer_UK I'm not anti vax but don't want nano particles of aluminium in my blood stream. We don't want diphtheria and polio back either. So what's the solution? Having mumps reduces chances of ovarian cancer because it activates the same immune	ingredients		
1349828068827869191t	@hartgroup_org Covid Downgraded from High Infectious Disease back in March 2020, PCR Tests that don’t pick up infectious viruses (currently flu season or flu jab symptoms will show as positive) Vaccine that don’t protect you or anyone else, Witty £60	ineffective		
1341519793896230913t	@jimmy31922581 @MaryamHenein Everyone has to keep retweeting this message - the public are being coerced into being part of an experiment that could kill, disable or make them infertile. The vax does not prevent infection & no guarantees of safety are giv	side-effect ineffective rushed		
1364571104975740928t	"@LionArts @therealmissjo We've become a nation of scientifically illiterate, bedwetters, happy to accept fudged figures & draconian restrictions on our freedoms for a virus with +99% recovery rate, desperate to swap natural immunity for a corporate ""vacci"	pharma		
1373946398886989827t	@SebastianEPayne @CharleyBaker1 More marketing, ethically bankrupt Tampa Bay Time Published Mar 19 Why Europe suspended AstraZeneca’s COVID-19 vaccine A dozen European countries suspended use of Oxford-AstraZeneca vaccine after reports that blood clots 	side-effect		
1293246301644238848t	I’m not taking a Russian vaccine until a Cuban doctor tells me it’s ok.	country		
1353655494456578048t	Once again Johnson in his wisdom has sanctioned that 2nd dose of vaccine to be given in 12 was despite all the scientists saying 3 weeks. More herd immunity? NO OTHER COUNTRY SUPPORT THIS I was invited but not going to take part in Johnson’s drugs trial	rushed		
1353789766542778368t	@AGHamilton29 I have severe allergies. I went into anaphylaxis the last time I had a flu shot. I have been told not to take the vaccine. Am I to be treated like a leper because I legitimately cannot take the vaccine?	side-effect		
1300220418196815872t	It has become evident that our Prime Minister Scott Morrison is aligning himself with international vaccine companies such as AstraZeneca that are morally bankrupt (having a history of being severely fined for false claims, kickbacks and bribery and unapproved promotion of	political pharma		
1336688428046450688t	"@dpakman https://t.co/dMbnWu6Qgt Some people who took the Pfizer vaccine are developing paralysis. FDA is ""keeping surveillance"" for more instances of paralysis. We are not weird for not wanting it."	side-effect		
1285933038669631488t	@carmindabrendel @ManniFester888 @the Anyone getting the COVID vaccine is likely to get this or worse!	side-effect		
1344260431125352448t	@MLoopyLuceP @epigenwhisp @CarolineCoramUK Then take the vaccine if you're good with that. This vaccine will not provide a life time of prevention against COVID. And no one I know who has had Covid has gotten Bell's palsy. it's a side effect of the vaccin	ineffective side-effect		
1378485663381684226t	I believe that the COVID-19 virus is a completely a hoax because of the federal government wants to control us and to be lab rats for the rest of our life and the vaccine 💉 is actually use for mind control and I believe that Covid-19 is completely a hoax.	conspiracy		
1370854842495815681t	@CorrectTwatters @texastweetiepie @kassiekitson @tlaishere Oh&they’ve had many decades to figure out what causes vaccine injury but failed for some strange reason leaving billions to play Russian Roulette with their lives. It then turns out they can’t	none		
1297126511456276485t	#COVID19 If this is the reaction, count me out of Moderna’s vaccine. https://t.co/5iJaeHK4gg via @statnews	side-effect		
1377001984109215748t	No to the demonic vaccine no to the vaccine passport.. bill gate and Biden re demons	mandatory religious		
1373318546881646595t	@brave3564445 @photoartist9 That’s not what Fauci is saying. He’s saying masks should continue to be worn bc having the vaccine doesn’t mean you can’t still contract covid.  So what good are these vaccines?	ineffective		
1385579836413026305t	@jonathanrockoff @efindell I will never be a Pfizer customer Breakthrough cases will become more common btw, COVID immunity wanes over time especially in people who are obese, middle-aged, and elderly	pharma unnecessary		
1349465041230307331t	@tobydrummond @littlemissrebel @RallyHeaven i using the morning sickness drug as an example of a drug that’s been designed for a specific purpose it fucked up countless lives if you have seen a teenager having thalidomide , Covid vaccine just was not te	rushed		
1358117598970470404t	@MattHancock - Just asking if perhaps those Nurses injected the WHOLE content of the vaccine bottle instead of just the required dose? Norway urgently changes Covid vaccine guidance after 23 die in days following Pfizer jab https://t.co/RALxFvJEOX	side-effect		
1278324795214458882t	@Ian56789 @devinedianakin Add to that, NIH scientists hold patents ($$$) for the COVID vaccine by Moderna which is being fast tracked and jumping past animal trials and going straight to human testing. https://t.co/F2KShMCu79	rushed pharma		
1355669877969870848t	@Sewn_apart Same piece said 25% remain at risk of death because of the efficiency rate and % of people who will get the vaccine. Which is true, I guess but following that logic everyone is at risk of dying in a car crash or getting cancer.	side-effect		
1334807628401217536t	Utterly bananas to rush this Pfizer product to market. Pfizer received the biggest criminal fine in history for dodgy products- and we’re the first country to get their vaccine because we’ve given them immunity from prosecution if it goes wrong.	pharma		
1349177294489792513t	Healthy South Florida doctor dies from strange side effect 2 weeks after receiving Pfizer COVID-19 vaccine https://t.co/tL3UKGsaQh	side-effect		
1365288974462423043t	@FLermyte This is a very good thread, thank you. Another 'theory' that I'm seeing a bit of, is that the mRNA vaccine can be incorporated into the host DNA via a reverse transcriptase / integrase combo, from endogenous retrovirus elements. Which strikes me	ineffective		
1337213691360649217t	@GovMurphy @US_FDA @pfizer Hooray ! Finally a vaccine for a cold with a 99.998 survival rate!!	unnecessary		
1334577212159369218t	@CivilBod @TabithaWim and why didn't scam-damn say that pfizer state if you are on ANY other medication you should not have their jab, because they've done NO tests to identify interactions with other meds! That is a damn important point!	rushed		
1283529923026706434t	Coronavirus: Lockdown Deaths, Not Covid Deaths – Moderna COVID-19 Vaccine Induced Adverse Reactions In “More Than Half” Of Trial Participants – Lockdowns Return Across India As COVID-19 Cases Near 1 Million https://t.co/JPsLSJpE6P	side-effect		
1354201354017918976t	News Dude: Moderna President says their vaccine covers the COVID-1984 variants Moderna's Asshat President: People will be able to get a booster shot Narrator [me, the narrator is me]: So that was a lie https://t.co/1MRlt6Xfk2	ineffective		
1442304903976681475t	"DO THESE ""COINCIDENCES"" EVER END? @krismeloche Ontario First Nation residents given expired coronavirus Pfizer vaccine | https://t.co/Sx4U1wJRxB https://t.co/IjiO6kBqtE"	ingredients		
1322287681955508224t	"@WSJ WTF. ""... J&J paused trials of its vaccine earlier this month after a subject became ill"". Claimed it was unrelated. More results not excuses! "".. couldn't release more information because of patient confidentiality"" BS I don't want patient names, ju"	side-effect		
1334475487398203392t	Feels a little like #Pfizer covering its backside just in case!! I mean, what could go wrong???? #LetThePoliticiansGoFirst	pharma		
1343188958079946752t	"IMPORTANT ARTICLE THAT SHOULD BE READ BY ALL TRUE, NORMAL, DECENT, MORAL,PATRIOTS OF OUR NATION & ALL OTHER WESTERN NATIONS! THESE ""ELITE""SCUM ARE ABSOLUTE EVIL, CORRUPT SATANIC DEMONS!Developers of Oxford-AstraZeneca Vaccine Tied to UK Eugenics Movement https://t.co/YRsai4Th2E"	pharma political		
1374967707745980418t	@anubha1812 @TV9Marathi They want to either kill us by the virus or the vaccine. Illiterate people 😡😡😡	mandatory		
1234591883558412288t	@realDonaldTrump So, when you meet with big pharma to ask them to expedite the COVID-19 vaccine			
1343234044276797440t	Seriously? Why would you be worried if a vaccine worked? It really shouldn't matter being surrounded by COVID if the vaccine worked. Seems like you have no trust in your vaccine. Use logic, Mr. Yang, and stop your authoritarian impulses. Mayor? I think NOT.	ineffective		
1366049305736278016t	@nytimes Do not trust this vaccine . Remember that Johnson &Johnson baby powder gave women ovarian cancer	unnecessary pharma		
1338220659546046464t	@DrNancyM_CDC It is unlikely that covid vaccines will have much impact on epidemics. The efficacy reports on most vaccines are fake statistics. Pfizer's vaccine is known to have side effects that can be worse than covid. https://t.co/4jpN1pOuR7	side-effect rushed		
1223243224396877825t	@labuyes @KOmukungu the vaccines the government's are going to roll out for the masses, be very mindful of the 1918 - 1919 Spanish Influenza pandemic whereby 50 million people died worldwide, not from the virus but from the national vaccine program announ	mandatory		
1336765404488863745t	@drdavidsamadi The over 65 flu vaccine 4 me was a disaster last September. Never had the flu so violent in my life. Like covid-19 . Targeted the wrong strain, but was told even if so, definitely would be less severe case. Losing faith in these vaccines. T	ineffective side-effect		
1376801639370272771t	A globally co-ordinated drive for nations to enforce vaccine passports not just for international travel, but also for entertainment & social gatherings.  That’s not going to raise suspicions about totalitarian world government crushing freedom of assembly at all, is it? 🤦‍♀️  https://t.co/Ys3QHRt5QO	conspiracy political		
1438465844544253955t	@JohnsonBraeden @VPrasadMDMPH The evidence is clear that anyone at risk will want to get themselves vaccinated. Which should be voluntary. Especially as the evidence is not strong that vaccination stops spread.	ineffective		
1339476079032078337t	"🚨👇Did you hear about this?A Healthcare Worker in Alaska received the Experimental CV Vacc on Tuesday & had Anaphylactic Shock reaction like the 2 in the UK.But,has No History of Any Allergies Watch""HEADS-UP: ""Glitches""Begin to Surface in Pfizer Roll-Out"" https://t.co/4R8658yo2A"	side-effect		
1382993443224485890t	The medical community is racing to understand why six people developed blood clots in their brains after receiving the Johnson & Johnson vaccine.​ https://t.co/ISqn3Quj2h	side-effect		
1426739516472135683t	@SmartCompany I am concerned that males aged 16-30 might be forced to vaccinate against COVID and be encouraged to use Pfizer. This vaccine causes myocarditis in 1 in 3000-6000 of this cohort. If occurs on the second dose. What happens when we need booste	side-effect		
1329081259570593795t	@AP Pfizer Data is 3 Months old. Find a US State with Positivity Rate below 2%. Pfizer vaccine is a mRNA variant that requires 2 shots over a 21 day time period. Immunity DOESN'T start till 28 days from 1st shot. Pfizer should test in High Infection area 	ineffective		
1278092443217547272t	@ShyDeplorable Vaccines also have unintended consequences. We still do not have a vaccine for AIDS or Ebola. Are we to believe we can develop one for Chinese Flu this fast?	side-effect		
1333503606193082370t	Serum Institute of India Denies Oxford Vaccine Volunteer Claims https://t.co/INrgRSPZIe Perfectly healthy before vax (trial requires) got vax, developed life threatening life long illness but just another coincidence. Remember Pharma has ZERO LIABILITY	side-effect pharma		
1375726376888774656t	The Vulnerable groups have been vaccinated that was the goal but this is now about Government control the virus is now just an excuse The Young don't need this vaccine nor does anyone fit under 50 We must STOP this State control   https://t.co/xqqrEJCtNT via @MailOnline	political		
1334618763627548679t	@njdotcom “Misinformation” is another term for “we don’t like the information”. Parents of children that have been injured from vaccines and won settlements in the court of law have been censored. Also, if the Covid vax injures you, they have no	side-effect		
1364937350594322434t	@Arwenstar I’ve had Covid recently. Not only do I not need the vaccine, the advice is not to have it for 3-6 months after recovery. Do I now get ostracised for achieving immunity?	unnecessary		
1295896256116453377t	⁦@ScottMorrisonMP⁩ doing business with Oxford is doing business with the CCP. No mandatory vaccines for Australians ever ⁦@DanielAndrewsMP⁩ https://t.co/suFvKSHUL2	mandatory		
1306367590336311297t	@TyVulpintaur @77Therivals @RockyMountViews @ABCPolitics @ABC2020 @ABC Go ahead and take the vaccine when it comes out- in fact, Why don’t you go and volunteer for Moderna clinical trials. I mean, the FDA wouldn’t allow you to do anything that’s uns	side-effect		
1338861975388885001t	"@annbauerwriter The entire foundational premise of the testing were doing (and the panic amd pressure for lockdowns that results) is that presence of viral RNA = ""case"" of covid. Now with these new mRNA vaccines its OPENLY ADMITTED, even BOASTED that vira"	rushed		
1374824930974560262t	I totally agree! I don't think they are taking the Covid vaccine also. 👇👇👇👇	none		
1344341331615870981t	This is fucking embarrassing if you believe this your fucking insane Oxford vaccine just in time where facing a race against time Fuck off	rushed		
1297657927684292608t	I am not getting a vaccine until #JoeBiden is President. How in the hell can you trust that Crazy Person in the Whitehouse who is treating the United States like a TV Show and make believe. He practically put a gun to the #FDA heads to pull a scam. This is really HORRIBLE.	political		
1355049273021374465t	Healthcare worker dies 4 days after second Pfizer vaccine, death under investigation | News | Lifesitenews https://t.co/uWfbDwNGOL	side-effect		
1312101776238112774t	"[This is the totalitarian State gone crazy! Vaccines only benefit BIG PHARMA. Covid19,like influenza,will require regular(annual?)""upgrades."" PE] ""Noncompliance Should Incur a Penalty"":New England Journal of Medicine Calls4 a Mandatory COVID-19 Vaccine"" https://t.co/H7khvDQdt4"	mandatory pharma		
1236223154248445953t	the pro-#vaccine propagandists don't know anybody with #autism, they think they're experts on my condition just because they watch TV and movies. #StopVaccines #vaccineInjured #VaccinesCanKill #ActuallyAutistic #StopDiminishingAutism #StopAbleism #VaccinesCauseCustomers  https://t.co/131kKRGMpm	side-effect		
1329877849629716483t	@DrLaPook @WCCO @pfizer @CBSNews Pfizer by law has ZERO liability whatsoever for any damages caused by their vaccine.	pharma		
1331009445527076864t	@JoshBloomACSH How can they come up with a vaccine for a ”complex novel virus” in such a prompt manner and NOt come up with a better solution for chronic pain, MS, RSD, Nerve Damage ETc.! ETc........‼️‼️‼️ I might trust Pfizer but, I'm not	rushed		
1354172050097758211t	@CooperArtist @talkRADIO @iancollinsuk Exactly the point, why have the vaccine if it doesn’t stop you carrying or spreading?	ineffective		
